Bin,Frequency,Probability,Cumulative Percentage
-0.02,304,2.86%,2.86%
-0.018,92,0.87%,3.73%
-0.016,143,1.35%,5.08%
-0.014,174,1.64%,6.72%
-0.012,197,1.86%,8.57%
-0.01,274,2.58%,11.16%
-0.008,393,3.70%,14.86%
-0.006,522,4.92%,19.78%
-0.004,673,6.34%,26.12%
-0.002,956,9.01%,35.12%
0,1299,12.24%,47.36%
0.002,1227,11.56%,58.92%
0.004,1080,10.18%,69.10%
0.006,879,8.28%,77.38%
0.008,634,5.97%,83.35%
0.01,486,4.58%,87.93%
0.012,365,3.44%,91.37%
0.014,227,2.14%,93.51%
0.016,189,1.78%,95.29%
0.018,125,1.18%,96.47%
0.02,86,0.81%,97.28%
More,289,2.72%,100.00%
